personA	personB	weight	release
114	238	2	2.2
143	34	22	2.2
130	457	2	2.2
61	304	2	2.2
66	143	1	2.2
143	415	5	2.2
159	143	915	2.2
173	276	1	2.2
130	130	34	2.2
301	373	1	2.2
367	68	2	2.2
233	304	4	2.2
202	116	6	2.2
202	143	8	2.2
373	395	4	2.2
391	133	10	2.2
304	245	3	2.2
287	391	11	2.2
304	114	11	2.2
287	143	13	2.2
399	328	19	2.2
399	188	38	2.2
425	304	18	2.2
10	424	4	2.2
40	143	1	2.2
114	304	4	2.2
143	40	14	2.2
94	304	1	2.2
94	94	1	2.2
143	416	1	2.2
170	143	3	2.2
173	304	67	2.2
130	143	6	2.2
301	399	4	2.2
367	132	1	2.2
233	373	1	2.2
202	202	1	2.2
389	304	8	2.2
391	148	6	2.2
304	287	52	2.2
287	399	43	2.2
304	130	5	2.2
331	10	1	2.2
399	364	13	2.2
399	193	61	2.2
425	373	2	2.2
19	287	1	2.2
42	143	9	2.2
114	310	13	2.2
143	56	58	2.2
97	304	1	2.2
97	97	1	2.2
143	424	32	2.2
196	126	5	2.2
181	457	13	2.2
173	396	2	2.2
164	108	34	2.2
310	238	26	2.2
367	143	53	2.2
233	399	34	2.2
212	451	5	2.2
389	389	16	2.2
391	181	18	2.2
304	328	4	2.2
328	304	1	2.2
304	164	121	2.2
331	68	2	2.2
399	368	14	2.2
399	207	11	2.2
425	399	48	2.2
19	304	4	2.2
43	10	1	2.2
114	373	5	2.2
143	65	1	2.2
98	240	8	2.2
98	98	54	2.2
143	425	18	2.2
196	196	52	2.2
173	399	234	2.2
164	143	81	2.2
310	258	13	2.2
367	159	3	2.2
235	235	31	2.2
233	143	8	2.2
391	207	4	2.2
399	24	60	2.2
304	331	27	2.2
328	399	11	2.2
304	175	16	2.2
367	444	1	2.2
399	395	8	2.2
425	425	15	2.2
34	56	12	2.2
449	304	2	2.2
19	391	1	2.2
43	34	1	2.2
114	399	8	2.2
143	94	3	2.2
98	287	6	2.2
98	116	6	2.2
170	238	1	2.2
238	143	4	2.2
175	304	4	2.2
164	175	14	2.2
310	373	291	2.2
373	425	1	2.2
235	304	19	2.2
244	304	14	2.2
235	143	1	2.2
391	287	9	2.2
399	33	36	2.2
304	369	51	2.2
368	368	2	2.2
304	182	1	2.2
367	457	3	2.2
399	396	14	2.2
457	98	8	2.2
34	143	7	2.2
23	304	5	2.2
43	56	13	2.2
133	399	3	2.2
143	98	21	2.2
98	369	2	2.2
98	143	76	2.2
170	310	13	2.2
238	170	1	2.2
202	458	2	2.2
182	304	2	2.2
173	45	3	2.2
310	399	574	2.2
373	33	20	2.2
244	331	2	2.2
244	10	1	2.2
391	310	12	2.2
399	45	23	2.2
304	389	10	2.2
368	399	2	2.2
368	143	1	2.2
399	403	6	2.2
457	181	37	2.2
68	34	3	2.2
40	276	1	2.2
43	68	1	2.2
143	233	35	2.2
143	102	2	2.2
98	373	18	2.2
98	159	3	2.2
170	373	2	2.2
249	159	1	2.2
182	399	5	2.2
173	143	72	2.2
367	207	4	2.2
373	68	23	2.2
244	424	4	2.2
304	19	9	2.2
244	34	1	2.2
391	333	1	2.2
399	63	2	2.2
369	369	17	2.2
369	68	18	2.2
399	415	4	2.2
457	207	3	2.2
68	56	47	2.2
40	391	3	2.2
43	143	7	2.2
143	235	7	2.2
143	114	5	2.2
98	380	4	2.2
102	181	1	2.2
170	399	7	2.2
258	130	4	2.2
187	304	3	2.2
173	188	6	2.2
367	304	30	2.2
373	117	13	2.2
245	245	1	2.2
304	23	2	2.2
244	56	13	2.2
391	367	1	2.2
399	65	1	2.2
369	399	11	2.2
369	143	26	2.2
399	420	18	2.2
34	304	12	2.2
68	122	2	2.2
42	304	4	2.2
56	10	6	2.2
143	238	8	2.2
143	126	3	2.2
102	304	1	2.2
117	117	4	2.2
196	304	54	2.2
304	415	1	2.2
187	373	1	2.2
175	143	29	2.2
367	373	30	2.2
373	129	15	2.2
245	399	1	2.2
304	34	17	2.2
244	68	1	2.2
399	233	83	2.2
399	108	29	2.2
373	444	4	2.2
399	425	31	2.2
34	424	4	2.2
108	164	6	2.2
43	244	1	2.2
56	34	7	2.2
143	245	4	2.2
143	130	2	2.2
117	373	5	2.2
117	129	4	2.2
238	310	14	2.2
304	425	7	2.2
188	276	1	2.2
175	164	50	2.2
373	233	5	2.2
373	175	4	2.2
373	187	3	2.2
258	275	12	2.2
304	40	18	2.2
244	143	7	2.2
399	245	4	2.2
399	114	4	2.2
376	304	4	2.2
376	132	1	2.2
457	216	1	2.2
68	369	2	2.2
114	114	3	2.2
98	457	15	2.2
43	304	14	2.2
56	43	6	2.2
143	270	4	2.2
143	175	19	2.2
129	373	9	2.2
117	132	1	2.2
238	373	2	2.2
304	451	14	2.2
188	304	4	2.2
175	175	6	2.2
373	249	12	2.2
391	19	3	2.2
304	187	7	2.2
270	270	2	2.2
304	43	13	2.2
258	425	7	2.2
399	267	40	2.2
399	118	4307	2.2
415	399	1	2.2
373	114	6	2.2
