b.source_id	c.target_id	weight	release
34	56	386323	2.2
34	143	33189	2.2
68	34	601199	2.2
68	56	11143837	2.2
68	122	200682	2.2
108	164	768	2.2
114	114	2737	2.2
114	143	3949	2.2
114	170	455	2.2
114	187	2510	2.2
132	117	38987	2.2
133	182	21785	2.2
143	34	512716	2.2
143	40	81369	2.2
143	56	6477670	2.2
143	65	132618	2.2
143	94	6711	2.2
143	98	1182125	2.2
143	102	9777	2.2
143	114	47742	2.2
143	126	207418	2.2
143	130	13831	2.2
143	175	876105	2.2
143	181	29935	2.2
143	187	26019	2.2
143	196	65121	2.2
159	117	2179716	2.2
159	129	1875727	2.2
159	143	298962087	2.2
170	143	1773	2.2
196	126	391756	2.2
196	196	7363364	2.2
238	143	1893	2.2
238	170	32	2.2
249	159	279897	2.2
258	130	203806	2.2
304	415	16856	2.2
304	425	103674	2.2
304	451	2195508	2.2
310	89	2260034	2.2
310	114	48051	2.2
310	143	38287387	2.2
310	170	51236	2.2
352	449	264966	2.1
367	68	184447	2.2
367	132	243867	2.2
367	143	5120868	2.2
367	159	92922	2.2
373	425	6856	2.2
373	33	942864	2.2
373	68	4266007	2.2
373	117	1537560	2.2
373	129	1229878	2.2
373	175	66090	2.2
373	187	27747	2.2
391	19	169931	2.2
391	65	899030	2.2
391	68	826149	2.2
391	89	1243433	2.2
391	102	5301	2.2
391	132	243893	2.2
391	133	4915081	2.2
391	148	586073	2.2
391	181	9627885	2.2
399	24	8524817	2.2
399	33	3738216	2.2
399	45	3062412	2.2
399	63	1609986	2.2
399	65	102456	2.2
399	108	3525183	2.2
399	114	1073	2.2
399	118	188773702	2.2
399	133	791893	2.2
399	164	13884157	2.2
399	170	533	2.2
399	175	2099502	2.2
399	182	988112	2.2
399	188	5379279	2.2
399	193	1999572	2.2
399	207	11832218	2.2
433	433	0	2.1
457	98	974989	2.2
457	181	2763075	2.2
457	207	2161732	2.2
34	304	1902745	2.2
34	424	1186804	2.2
68	369	14495	2.2
68	373	3669159	2.2
68	424	5965214	2.2
89	287	251652	2.2
89	310	20694	2.2
108	304	26390	2.2
114	238	4482	2.2
114	304	5565	2.2
114	310	40838	2.2
114	373	2082	2.2
114	399	18754	2.2
133	399	862	2.2
143	233	3710797	2.2
143	235	23725	2.2
143	238	21424	2.2
143	245	73857	2.2
143	270	5931	2.2
143	287	404831	2.2
143	301	183430	2.2
143	330	122371	2.2
143	368	860	2.2
143	369	465111	2.2
143	415	28111	2.2
143	416	13	2.2
