"","node","betweenness"
"1057",15748,7056
"1058",15827,3780
"1059",15865,20957
"1060",15869,0
"1061",15948,9300
"1062",16003,1169
"1063",16010,2299
"1064",16036,9174
"1065",16043,5739
"1066",16046,1149
"1067",16069,1150
"1068",16077,0
"1069",16095,3438
"1070",16144,0
"1071",16170,6837
"1072",16173,2305
"1073",16174,18731
"1074",16179,5
"1075",16187,916
"1076",16189,9555
"1077",16191,0
"1078",16216,1277
"1079",16224,4992
"1080",16242,2298
"1081",16246,8030
"1082",16254,5735
"1083",16257,447
"1084",16313,3444
"1085",16323,2983
"1086",16338,2853
"1087",16342,5377
"1088",16344,11354
"1089",16362,1149
"1090",16368,4446
"1091",16394,1149
"1092",16400,6785
"1093",16422,6981
"1094",16458,5737
"1095",16479,8064
"1096",16488,3098
"1097",16511,1152
"1098",16512,2297
"1099",16515,14963
"1100",16560,6857
"1101",16570,4189
"1102",16574,2354
"1103",16580,5140
"1104",16590,308
"1105",16595,5138
"1106",16611,2294
"1107",16618,7450
"1108",16634,5025
"1109",16682,21416
"1110",16686,2925
"1111",16691,12397
"1112",16718,1788
"1113",16722,2844
"1114",16725,0
"1115",16742,6136
"1116",16753,0
"1117",16758,1134
"1118",16850,3023
"1119",16854,15343
"1120",16862,11877
"1121",16865,12341
"1122",16874,5659
"1123",16884,9031
"1124",16911,1525
"1125",16944,2297
"1126",16981,0
"1127",16998,1452
"1128",17022,2298
"1129",17030,11676
"1130",17067,1163
"1131",17085,8019
"1132",17100,1599
"1133",17110,1149
"1134",17150,21947
"1135",17153,8025
"1136",17166,326
"1137",17191,5022
"1138",17195,1957
"1139",17261,0
"1140",17262,5736
"1141",17280,7392
"1142",17288,5387
"1143",17297,4045
"1144",17306,1150
"1145",17331,36429
"1146",17332,5738
"1147",17339,0
"1148",17368,1150
"1149",17399,140
"1150",17427,5648
"1151",17432,4455
"1152",17449,5738
"1153",17492,3097
"1154",17503,26856
"1155",17504,5497
"1156",17569,5375
"1157",17597,2297
"1158",17694,4544
"1159",17707,1149
"1160",17737,8027
"1161",17755,10947
"1162",17781,6292
"1163",17783,0
"1164",17800,0
"1165",17851,6833
"1166",17854,425
"1167",17861,1152
"1168",17896,5431
"1169",17943,4545
"1170",17977,1151
"1171",18019,0
"1172",18109,2297
"1173",18119,3101
"1174",18144,6454
"1175",18145,0
"1176",18148,5769
"1177",18149,1150
